"unigram","neg_count","pos_count","total_count","pmi_pos","pmi_neg","pmi_diff"
"accomplish",0,5,5,0.799394691288753,-Inf,Inf
"appreciative",0,5,5,0.799394691288753,-Inf,Inf
"appropriately",0,5,5,0.799394691288753,-Inf,Inf
"ashley",0,5,5,0.799394691288753,-Inf,Inf
"aspect",0,7,7,0.799394691304595,-Inf,Inf
"ballantyne",0,5,5,0.799394691288753,-Inf,Inf
"beautifully",0,9,9,0.799394691313397,-Inf,Inf
"blvd",0,6,6,0.799394691297994,-Inf,Inf
"bonus",0,17,17,0.799394691327893,-Inf,Inf
"brenda",0,5,5,0.799394691288753,-Inf,Inf
"brian",0,9,9,0.799394691313397,-Inf,Inf
"buffett",0,5,5,0.799394691288753,-Inf,Inf
"bulk",0,7,7,0.799394691304595,-Inf,Inf
"bundt",0,8,8,0.799394691309546,-Inf,Inf
"career",0,5,5,0.799394691288753,-Inf,Inf
"carrot",0,11,11,0.799394691318997,-Inf,Inf
"chevrolet",0,8,8,0.799394691309546,-Inf,Inf
"chowder",0,8,8,0.799394691309546,-Inf,Inf
"cindy",0,5,5,0.799394691288753,-Inf,Inf
"congrats",0,6,6,0.799394691297994,-Inf,Inf
"contemporary",0,5,5,0.799394691288753,-Inf,Inf
"cosmopolitan",0,5,5,0.799394691288753,-Inf,Inf
"coverage",0,5,5,0.799394691288753,-Inf,Inf
"danish",0,5,5,0.799394691288753,-Inf,Inf
"dank",0,5,5,0.799394691288753,-Inf,Inf
"deadly",0,5,5,0.799394691288753,-Inf,Inf
"decently",0,5,5,0.799394691288753,-Inf,Inf
"dedicate",0,5,5,0.799394691288753,-Inf,Inf
"delightful",0,13,13,0.799394691322875,-Inf,Inf
"delish",0,6,6,0.799394691297994,-Inf,Inf
"devour",0,16,16,0.799394691326874,-Inf,Inf
"doggy",0,7,7,0.799394691304595,-Inf,Inf
"domestic",0,5,5,0.799394691288753,-Inf,Inf
"drizzle",0,5,5,0.799394691288753,-Inf,Inf
"explore",0,5,5,0.799394691288753,-Inf,Inf
"fame",0,5,5,0.799394691288753,-Inf,Inf
